N°	Nota	Frequência (Hz)	Peroído (s)	Comprimento de Onda (m)
65	F  5	698,456482	0,001432	0,492515
66	F# 5	739,988831	0,001351	0,464872
67	G  5	783,990845	0,001276	0,438781
68	G# 5	830,609375	0,001204	0,414154
69	A  5	880,000000	0,001136	0,390909
70	A# 5	932,327576	0,001073	0,368969
71	B  5	987,766602	0,001012	0,348260

N°	Nota	Frequência (Hz)	Período (s)	Comprimento de Onda (m)
72	C  6	1046,502075	0,000956	0,328714
73	C# 6	1108,730591	0,000902	0,310265
74	D  6	1174,659058	0,000851	0,292851
75	D# 6	1244,507935	0,000804	0,276414
76	E  6	1318,510254	0,000758	0,260900
77	F  6	1396,912964	0,000716	0,246257
78	F# 6	1479,977539	0,000676	0,232436
79	G  6	1567,981812	0,000638	0,219390
80	G# 6	1661,218750	0,000602	0,207077
81	A  6	1760,000000	0,000568	0,195455
82	A# 6	1864,654785	0,000536	0,184485
83	B  6	1975,533325	0,000506	0,174130

N°	Nota	Frequência (Hz)	Período (s)	Comprimento de Onda (m)
84	C  7	2093,004395	0,000478	0,164357
85	C# 7	2217,460938	0,000451	0,155132
86	D  7	2349,318115	0,000426	0,146425
87	D# 7	2489,015625	0,000402	0,138207
88	E  7	2637,020264	0,000379	0,130450
89	F  7	2793,825928	0,000358	0,123129
90	F# 7	2959,955078	0,000338	0,116218
91	G  7	3135,963135	0,000319	0,109695
92	G# 7	3322,437500	0,000301	0,103538
93	A  7	3520,000000	0,000284	0,097727
94	A# 7	3729,309570	0,000268	0,092242
95	B  7	3951,066895	0,000253	0,087065

N°	Nota	Frequência (Hz)	Período (s)	Comprimento de Onda (m)
96	C  8	4186,008301	0,000239	0,082179
97	C# 8	4434,921875	0,000225	0,077566
98	D  8	4698,636719	0,000213	0,073213
99	D# 8	4978,031250	0,000201	0,069104
100	E  8	5274,040039	0,000190	0,065225
101	F  8	5587,651367	0,000179	0,061564
102	F# 8	5919,910645	0,000169	0,058109
103	G  8	6271,926270	0,000159	0,054848
104	G# 8	6644,875000	0,000150	0,051769
105	A  8	7040,000000	0,000142	0,048864
106	A# 8	7458,621094	0,000134	0,046121
107	B  8	7902,131836	0,000127	0,043533

N°	Nota	Frequência (Hz)	Período (s)	Comprimento de Onda (m)
108	C  9	8372,016602	0,000119	0,041089
109	C# 9	8869,844727	0,000113	0,038783
110	D  9	9397,270508	0,000106	0,036606
111	D# 9	9956,063477	0,000100	0,034552
112	E  9	10548,083008	0,000095	0,032613
113	F  9	11175,301758	0,000089	0,030782
114	F# 9	11839,820312	0,000084	0,029054
115	G  9	12543,855469	0,000080	0,027424
116	G# 9	13289,748047	0,000075	0,025885
117	A  9	14080,000000	0,000071	0,024432
118	A# 9	14917,242188	0,000067	0,023061
119	B  9	15804,263672	0,000063	0,021766

N°	Nota	Frequência (Hz)	Período (s)	Comprimento de Onda (m)
120	C  10	16744,033203	0,000060	0,020545
121	C# 10	17739,687500	0,000056	0,019392
122	D  10	18794,542969	0,000053	0,018303
123	D# 10	19912,125000	0,000050	0,017276
124	E  10	21096,166016	0,000047	0,016306
125	F  10	22350,605469	0,000045	0,015391
126	F# 10	23679,640625	0,000042	0,014527
127	G  10	25087,710938	0,000040	0,013712
128	G# 10	26579,496094	0,000038	0,012942
129	A  10	28160,000000	0,000036	0,012216
130	A# 10	29834,486328	0,000034	0,011530
131	B  10	31608,527344	0,000032	0,010883
